         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   24.773   12.387 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\NEAT.py:114(train_genomes)
        8    0.000    0.000   24.392    3.049 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\threading.py:540(wait)
        8    0.000    0.000   24.392    3.049 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\threading.py:270(wait)
       39   24.392    0.625   24.392    0.625 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000   24.387   12.193 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:359(map)
        2    0.000    0.000   24.387   12.193 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:761(get)
        2    0.000    0.000   24.387   12.193 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:758(wait)
        5    0.637    0.127    0.637    0.127 {built-in method _pickle.dump}
        3    0.001    0.000    0.636    0.212 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\utils\utils.py:110(save_neat)
        2    0.000    0.000    0.592    0.296 .\main.py:93(<listcomp>)
        2    0.001    0.001    0.592    0.296 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\NEAT.py:29(generate_offspring)
       78    0.001    0.000    0.428    0.005 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\breed_two_genomes.py:41(breed_two_genomes)
       78    0.138    0.002    0.416    0.005 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\create_base_genomes.py:6(create_base_genomes)
        2    0.000    0.000    0.377    0.189 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\utils\utils.py:164(save_fitness_graph_file)
        2    0.000    0.000    0.352    0.176 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\utils\utils.py:147(plot_fitness_data)
        2    0.000    0.000    0.264    0.132 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\pyplot.py:1020(savefig)
        2    0.000    0.000    0.259    0.129 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:115(Pool)
        2    0.000    0.000    0.255    0.128 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:183(__init__)
        2    0.000    0.000    0.247    0.124 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:302(_repopulate_pool)
        2    0.000    0.000    0.247    0.124 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:311(_repopulate_pool_static)
       32    0.000    0.000    0.246    0.008 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:110(start)
       32    0.000    0.000    0.245    0.008 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:323(_Popen)
       32    0.002    0.000    0.243    0.008 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
   187825    0.222    0.000    0.236    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\node.py:12(__init__)
        4    0.000    0.000    0.235    0.059 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backends\backend_agg.py:392(draw)
        4    0.000    0.000    0.234    0.058 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    452/4    0.001    0.000    0.234    0.058 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        4    0.000    0.000    0.234    0.058 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:3155(draw)
